name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Israel Abanikanda,49ers,RB,20.0,70,216,,,Pittsburgh,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:36.128084
Tre Avery,49ers,CB,36.0,71,181,,,Rutgers,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:36.129013
Isaac Alarcon,49ers,OT,67.0,79,320,,,,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:36.128646
Brandon Aiyuk,49ers,WR,11.0,72,200,,,Arizona State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:36.128474
Evan Anderson,49ers,DL,69.0,75,326,,,Florida Atlantic,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:36.128855
Robert Beal Jr.,49ers,DE,51.0,76,250,,,Georgia,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:40.389485
Junior Bergen,49ers,WR,86.0,69,184,,,Montana,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:40.493142
Ben Bartch,49ers,OT,78.0,78,315,,,St. John's (MN),,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:39.598983
Tatum Bethune,49ers,LB,48.0,72,230,,,Florida State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:40.917254
Stone Blanton,49ers,LB,50.0,73,227,,,Mississippi State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:41.033347
Jake Brendel,49ers,C,64.0,76,299,,,UCLA,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:44.331605
Nick Bosa,49ers,DE,97.0,76,266,,,Ohio State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:43.853710
Ji'Ayir Brown,49ers,SAF,27.0,71,202,,,Penn State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:44.421679
Spencer Burford,49ers,OT,74.0,76,300,,,Texas-San Antonio,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:44.983636
Tre Brown,49ers,CB,22.0,70,185,,,Oklahoma,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:44.601557
Kalia Davis,49ers,DT,93.0,74,310,,,UCF,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:50.384394
Alfred Collins,49ers,DT,,77,320,,,Texas,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:49.503967
Derrick Canteen,49ers,SAF,40.0,71,197,,,Cincinnati,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:48.764253
Jacob Cowing,49ers,WR,19.0,69,170,,,Arizona,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:50.190984
Connor Colby,49ers,G,75.0,77,309,,,Iowa,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:05:49.066745
