name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Felix Anudike-Uzomah,chiefs,DE,97.0,"6'4""",255,,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.599382
Elijhah Badger,chiefs,WR,80.0,"6'1""",192,,,Florida,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.601325
Matt Araiza,chiefs,P,14.0,"6'2""",200,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.600342
Jeffrey Bassa,chiefs,LB,31.0,"6'2""",235,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.602004
Deon Bush,chiefs,SAF,26.0,"6'0""",200,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.608061
Nick Bolton,chiefs,LB,32.0,"5'11""",237,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.603406
Mike Caliendo,chiefs,G,66.0,"6'4""",300,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.608740
Leo Chenal,chiefs,LB,54.0,"6'3""",250,,,Wisconsin,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.609090
Cole Christiansen,chiefs,LB,48.0,"6'1""",230,,,Army,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.609584
Jake Briningstool,chiefs,TE,88.0,"6'6""",240,,,Clemson,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.604685
Jack Cochrane,chiefs,LB,43.0,"6'3""",236,,,South Dakota,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.610088
Jason Brownlee,chiefs,WR,89.0,"6'3""",202,,,Southern Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.606996
Harrison Butker,chiefs,K,7.0,"6'4""",205,,,Georgia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.608386
Marquise Brown,chiefs,WR,5.0,"5'9""",180,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.606765
Chamarri Conner,chiefs,DB,27.0,"6'0""",202,,,Virginia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.610936
Bryan Cook,chiefs,SAF,6.0,"6'1""",206,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.611461
Eddie Czaplicki,chiefs,P,47.0,"6'1""",207,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.612185
Jacobe Covington,chiefs,CB,40.0,"6'2""",200,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.611864
Mac Dalena,chiefs,WR,84.0,"5'11""",180,,,Fresno State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.612752
Michael Danna,chiefs,DE,51.0,"6'2""",257,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.613017
Mike Edwards,chiefs,SAF,34.0,"5'10""",205,,,Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.613800
Kristian Fulton,chiefs,CB,8.0,"5'11""",197,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.614365
Dalton Cooper,chiefs,OT,73.0,"6'7""",315,,,Oklahoma State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.611742
Brandon George,chiefs,LB,50.0,"6'3""",240,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.614495
C.J. Hanson,chiefs,G,61.0,"6'5""",300,,,Holy Cross,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.617973
Malik Herring,chiefs,DE,94.0,"6'3""",275,,,Georgia,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.618187
Jaden Hicks,chiefs,SAF,21.0,"6'1""",215,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.618385
Noah Gray,chiefs,TE,83.0,"6'3""",240,,,Duke,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.617709
Creed Humphrey,chiefs,C,52.0,"6'4""",302,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.619095
Kareem Hunt,chiefs,RB,29.0,"5'11""",216,,,Toledo,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.619297
Keaontay Ingram,chiefs,RB,30.0,"6'0""",221,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.619477
Coziah Izzard,chiefs,DT,93.0,"6'3""",305,,,Penn State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.619678
Nazeeh Johnson,chiefs,SAF,13.0,"5'10""",199,,,Marshall,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.619860
Cam Jones,chiefs,LB,44.0,"6'2""",227,,,Indiana,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.620080
Chris Jones,chiefs,DE,95.0,"6'6""",310,,,Mississippi State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.620446
George Karlaftis,chiefs,DE,56.0,"6'4""",263,,,Purdue,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.620671
Travis Kelce,chiefs,TE,87.0,"6'5""",250,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.620871
Kevin Knowles,chiefs,DB,38.0,"5'11""",190,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.621082
Joey Lombard,chiefs,C,,"6'5""",305,,,South Dakota,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.621295
Fabien Lovett Sr.,chiefs,DT,96.0,"6'3""",316,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.621471
Patrick Mahomes,chiefs,QB,15.0,"6'2""",225,,,Texas Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.621654
Cooper McDonald,chiefs,LB,,"6'3""",240,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.621827
Trent McDuffie,chiefs,CB,22.0,"5'11""",193,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.622129
Glendon Miller,chiefs,SAF,25.0,"6'2""",206,,,Maryland,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.622343
Gardner Minshew,chiefs,QB,17.0,"6'1""",225,,,Washington State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.622551
Elijah Mitchell,chiefs,RB,25.0,"5'10""",200,,,Louisiana-Lafayette,,,,,,,,,,,,,,nfl.com,2025-07-20 02:58:25.622802
