name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
KeiTrel Clark,cardinals,CB,13.0,"5'10""",181,,,Louisville,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.462784,600.0,0.0,1050.0,0.0,4400.0,8.0
Kitan Crawford,cardinals,SAF,36.0,"5'11""",202,,,Nevada,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463963,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Jake Curhan,cardinals,OT,64.0,"6'6""",316,,,California,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.464211,600.0,2500.0,1050.0,2000.0,6050.0,20.2
James Conner,cardinals,RB,6.0,"6'1""",233,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463764,600.0,0.0,1050.0,0.0,4840.0,8.4
Michael Carter,cardinals,RB,22.0,"5'8""",201,,,North Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.462286,600.0,0.0,1050.0,0.0,4510.0,8.1
Hayden Conner,cardinals,G,58.0,"6'6""",314,,,Texas,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463508,600.0,2500.0,1050.0,2000.0,6050.0,20.2
McClendon Curtis,cardinals,G,66.0,"6'6""",325,,,Tennessee-Chattanooga,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.464566,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Josiah Deguara,cardinals,TE,47.0,"6'2""",238,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466219,600.0,0.0,1160.0,0.0,7550.0,11.4
Zaven Collins,cardinals,LB,25.0,"6'4""",260,,,Tulsa,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463328,600.0,0.0,1050.0,0.0,6050.0,9.7
Jaden Davis,cardinals,DB,39.0,"5'10""",182,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.465215,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Simi Fehoko,cardinals,WR,80.0,"6'4""",218,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466909,720.0,0.0,1050.0,0.0,5750.0,9.7
Emari Demercado,cardinals,RB,31.0,"5'9""",215,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466437,600.0,0.0,1050.0,0.0,4510.0,8.1
Akeem Davis-Gaither,cardinals,LB,27.0,"6'2""",238,,,Appalachian State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.465903,600.0,0.0,1050.0,0.0,6050.0,9.7
Greg Dortch,cardinals,WR,4.0,"5'7""",175,,,Wake Forest,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466686,720.0,0.0,1050.0,0.0,6350.0,10.2
Josh Fryar,cardinals,OT,78.0,"6'5""",320,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.467719,600.0,2500.0,1050.0,2000.0,6050.0,20.2
