name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Tre Avery,49ers,CB,36.0,71,181,,,Rutgers,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:24.494548
Isaac Alarcon,49ers,OT,67.0,79,320,,,,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:24.494242
Israel Abanikanda,49ers,RB,20.0,70,216,,,Pittsburgh,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:24.493758
Evan Anderson,49ers,DL,69.0,75,326,,,Florida Atlantic,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:24.494394
Brandon Aiyuk,49ers,WR,11.0,72,200,,,Arizona State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:24.494021
Ben Bartch,49ers,OT,78.0,78,315,,,St. John's (MN),,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:27.336436
Tatum Bethune,49ers,LB,48.0,72,230,,,Florida State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:58.350775
Junior Bergen,49ers,WR,86.0,69,184,,,Montana,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:58.075996
Stone Blanton,49ers,LB,50.0,73,227,,,Mississippi State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:58.844955
Robert Beal Jr.,49ers,DE,51.0,76,250,,,Georgia,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:31:57.890638
Nick Bosa,49ers,DE,97.0,76,266,,,Ohio State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:02.690835
Jake Brendel,49ers,C,64.0,76,299,,,UCLA,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:31.524397
Spencer Burford,49ers,OT,74.0,76,300,,,Texas-San Antonio,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:32.842053
Ji'Ayir Brown,49ers,SAF,27.0,71,202,,,Penn State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:32.087172
Tre Brown,49ers,CB,22.0,70,185,,,Oklahoma,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:32.660963
Derrick Canteen,49ers,SAF,40.0,71,197,,,Cincinnati,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:32:36.036009
Connor Colby,49ers,G,75.0,77,309,,,Iowa,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:33:05.308373
Alfred Collins,49ers,DT,,77,320,,,Texas,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:33:06.050242
Kalia Davis,49ers,DT,93.0,74,310,,,UCF,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:33:07.054022
Jacob Cowing,49ers,WR,19.0,69,170,,,Arizona,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:33:06.778503
