name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Felix Anudike-Uzomah,chiefs,DE,97.0,"6'4""",255,,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.864823
Matt Araiza,chiefs,P,14.0,"6'2""",200,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.865315
Elijhah Badger,chiefs,WR,80.0,"6'1""",192,,,Florida,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.865909
Jake Briningstool,chiefs,TE,88.0,"6'6""",240,,,Clemson,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.867238
Jeffrey Bassa,chiefs,LB,31.0,"6'2""",235,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.866403
Nick Bolton,chiefs,LB,32.0,"5'11""",237,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.866807
Marquise Brown,chiefs,WR,5.0,"5'9""",180,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.868366
Jason Brownlee,chiefs,WR,89.0,"6'3""",202,,,Southern Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.868869
Deon Bush,chiefs,SAF,26.0,"6'0""",200,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.870102
Harrison Butker,chiefs,K,7.0,"6'4""",205,,,Georgia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.870376
Mike Caliendo,chiefs,G,66.0,"6'4""",300,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.870632
Chamarri Conner,chiefs,DB,27.0,"6'0""",202,,,Virginia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.871802
Bryan Cook,chiefs,SAF,6.0,"6'1""",206,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.872030
Leo Chenal,chiefs,LB,54.0,"6'3""",250,,,Wisconsin,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.870807
Cole Christiansen,chiefs,LB,48.0,"6'1""",230,,,Army,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.871108
Jack Cochrane,chiefs,LB,43.0,"6'3""",236,,,South Dakota,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.871473
Jacobe Covington,chiefs,CB,40.0,"6'2""",200,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.873379
Eddie Czaplicki,chiefs,P,47.0,"6'1""",207,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.873613
Mac Dalena,chiefs,WR,84.0,"5'11""",180,,,Fresno State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.873916
Michael Danna,chiefs,DE,51.0,"6'2""",257,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.874223
Dalton Cooper,chiefs,OT,73.0,"6'7""",315,,,Oklahoma State,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.873111
Mike Edwards,chiefs,SAF,34.0,"5'10""",205,,,Kentucky,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.875255
Kristian Fulton,chiefs,CB,8.0,"5'11""",197,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.875709
Ashton Gillotte,chiefs,DE,97.0,"6'3""",270,,,Louisville,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.876521
Brandon George,chiefs,LB,50.0,"6'3""",240,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.876250
Noah Gray,chiefs,TE,83.0,"6'3""",240,,,Duke,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.877667
Ethan Driskell,chiefs,OT,75.0,"6'8""",313,,,Marshall,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.874882
C.J. Hanson,chiefs,G,61.0,"6'5""",300,,,Holy Cross,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.878064
Malik Herring,chiefs,DE,94.0,"6'3""",275,,,Georgia,,,,,,,,,,,,,,nfl.com,2025-07-20 03:25:41.878348
