name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at
Drue Tranquill,23.0,LB,ACT,"7'4""",234,7,Notre Dame,chiefs,nfl.com,2025-07-20T02:19:44.216122
Marlon Tuipulotu,92.0,DT,ACT,"7'4""",307,5,USC,chiefs,nfl.com,2025-07-20T02:19:44.216125
Jaylen Watson,35.0,CB,ACT,"7'4""",197,4,Washington State,chiefs,nfl.com,2025-07-20T02:19:44.216146
Tre Watson,46.0,TE,ACT,"7'7""",250,R,Texas A&M,chiefs,nfl.com,2025-07-20T02:19:44.216150
Jared Wiley,12.0,TE,ACT,"7'8""",249,2,TCU,chiefs,nfl.com,2025-07-20T02:19:44.216153
Joshua Williams,2.0,CB,ACT,"7'5""",193,4,Fayetteville State University,chiefs,nfl.com,2025-07-20T02:19:44.216156
Major Williams,,SAF,ACT,"7'3""",190,R,Carson Newman,chiefs,nfl.com,2025-07-20T02:19:44.216160
Nohl Williams,20.0,CB,ACT,"7'3""",200,R,California,chiefs,nfl.com,2025-07-20T02:19:44.216163
James Winchester,41.0,LS,ACT,"7'5""",209,11,Oklahoma,chiefs,nfl.com,2025-07-20T02:19:44.216166
Xavier Worthy,1.0,WR,ACT,"7'1""",165,2,Texas,chiefs,nfl.com,2025-07-20T02:19:44.216169
Elijah Young,34.0,RB,ACT,"7'0""",198,R,Western Kentucky,chiefs,nfl.com,2025-07-20T02:19:44.216173
Bailey Zappe,14.0,QB,ACT,"7'3""",215,4,Western Kentucky,chiefs,nfl.com,2025-07-20T02:19:44.216176
