name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Tyson Bagent,bears,QB,17,75,213,,,Shepherd,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:53.982544
Theo Benedet,bears,OL,79,79,305,,,University of British Columbia,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:53.983015
Maurice Alexander,bears,WR,13,71,180,,,Florida International,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:53.982232
Kiran Amegadjie,bears,OT,72,77,326,,,Yale,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:53.982416
Ryan Bates,bears,OT,71,76,302,,,Penn State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:53.982848
Josh Blackwell,bears,CB,39,71,180,,,Duke,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:57.744770
Andrew Billings,bears,DT,97,73,311,,,Baylor,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:57.182897
Miles Boykin,bears,WR,84,76,220,,,Notre Dame,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:58.021512
Austin Booker,bears,DE,94,78,245,,,Kansas,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:57.989738
Swayze Bozeman,bears,LB,27,73,224,,,Southern Mississippi,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:58.687661
Luther Burden III,bears,WR,87,72,206,,,Missouri,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:01.269853
Jaquan Brisker,bears,SAF,9,73,200,,,Penn State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:00.560074
Major Burns,bears,SAF,35,74,207,,,LSU,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:02.148150
Stephen Carlson,bears,TE,88,76,240,,,Princeton,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:03.311575
Kevin Byard,bears,FS,31,71,212,,,Middle Tennessee State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:02.915725
Xavier Carlton,bears,DE,93,78,273,,,California,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:04.105266
Alex Cook,bears,SAF,37,73,196,,,Washington,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:04.385030
Drew Dalman,bears,C,52,75,300,,,Stanford,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:05.074630
Gervon Dexter Sr.,bears,DT,99,78,312,,,Florida,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:06.667471
Scott Daly,bears,LS,46,73,245,,,Notre Dame,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:03:05.795143
