name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Isaac Alarcon,49ers,OT,67.0,79,320,,,,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:09.351779
Brandon Aiyuk,49ers,WR,11.0,72,200,,,Arizona State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:09.351355
Evan Anderson,49ers,DL,69.0,75,326,,,Florida Atlantic,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:09.352087
Tre Avery,49ers,CB,36.0,71,181,,,Rutgers,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:09.353336
Israel Abanikanda,49ers,RB,20.0,70,216,,,Pittsburgh,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:09.350998
Junior Bergen,49ers,WR,86.0,69,184,,,Montana,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:13.523096
Ben Bartch,49ers,OT,78.0,78,315,,,St. John's (MN),,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:12.954928
Robert Beal Jr.,49ers,DE,51.0,76,250,,,Georgia,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:13.194293
Stone Blanton,49ers,LB,50.0,73,227,,,Mississippi State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:14.062077
Tatum Bethune,49ers,LB,48.0,72,230,,,Florida State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:13.693806
Jake Brendel,49ers,C,64.0,76,299,,,UCLA,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:17.016340
Nick Bosa,49ers,DE,97.0,76,266,,,Ohio State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:16.604138
Ji'Ayir Brown,49ers,SAF,27.0,71,202,,,Penn State,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:17.617087
Derrick Canteen,49ers,SAF,40.0,71,197,,,Cincinnati,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:20.703094
Spencer Burford,49ers,OT,74.0,76,300,,,Texas-San Antonio,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:18.591380
Tre Brown,49ers,CB,22.0,70,185,,,Oklahoma,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:18.515365
Connor Colby,49ers,G,75.0,77,309,,,Iowa,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:21.508262
Alfred Collins,49ers,DT,,77,320,,,Texas,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:23.587716
Jacob Cowing,49ers,WR,19.0,69,170,,,Arizona,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:23.656592
Kalia Davis,49ers,DT,93.0,74,310,,,UCF,,,,,,,,,,,,,,social_media_extraction,2025-07-17 16:02:23.857142
