name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
John Franklin-Myers,98.0,DE,ACT,"6'4""",288,,8,Stephen F. Austin State,broncos,nfl.com,2025-07-21T13:57:06.340647,6.0,18.3,10.5,0.0,78.5,17.0
Zach Allen,99.0,DE,ACT,"6'5""",285,,7,Boston College,broncos,nfl.com,2025-07-21T13:57:06.340529,6.0,16.0,10.5,0.0,78.5,16.3
Sam Ehlinger,4.0,QB,ACT,"6'2""",222,,5,Texas,broncos,nfl.com,2025-07-21T13:57:06.340611,7.8,12.5,11.6,0.0,83.0,16.3
Adam Trautman,82.0,TE,ACT,"6'5""",253,,6,Dayton,broncos,nfl.com,2025-07-21T13:57:06.340865,6.0,13.8,11.6,0.0,78.5,15.8
Courtland Sutton,14.0,WR,ACT,"6'4""",216,,8,SMU,broncos,nfl.com,2025-07-21T13:57:06.340849,7.2,16.7,10.5,0.0,63.5,15.2
Trent Sherfield,5.0,WR,ACT,"6'1""",206,,8,Vanderbilt,broncos,nfl.com,2025-07-21T13:57:06.340817,7.2,16.7,10.5,0.0,63.5,15.2
Malcolm Roach,97.0,DT,ACT,"6'3""",290,,6,Texas,broncos,nfl.com,2025-07-21T13:57:06.340801,6.0,12.5,10.5,0.0,78.5,15.2
Alex Singleton,49.0,LB,ACT,"6'2""",240,,7,Montana State,broncos,nfl.com,2025-07-21T13:57:06.340825,6.0,16.0,10.5,0.0,63.5,14.8
Dre Greenlaw,57.0,LB,ACT,"6'0""",230,,7,Arkansas,broncos,nfl.com,2025-07-21T13:57:06.340659,6.0,16.0,10.5,0.0,63.5,14.8
Justin Strnad,40.0,LB,ACT,"6'3""",235,,6,Wake Forest,broncos,nfl.com,2025-07-21T13:57:06.340841,6.0,13.8,10.5,0.0,63.5,14.1
Bo Nix,10.0,QB,ACT,"6'2""",217,,2,Oregon,broncos,nfl.com,2025-07-21T13:57:06.340762,7.8,5.0,11.6,0.0,79.0,13.7
Jonathon Cooper,,LB,ACT,"6'4""",257,,5,Ohio State,broncos,nfl.com,2025-07-21T13:57:06.340587,6.0,11.5,10.5,0.0,63.5,13.4
Nate Adkins,45.0,TE,ACT,"6'3""",252,,3,South Carolina,broncos,nfl.com,2025-07-21T13:57:06.340524,6.0,6.9,11.6,0.0,74.5,13.3
Lucas Krull,85.0,TE,ACT,"6'6""",260,,3,Pittsburgh,broncos,nfl.com,2025-07-21T13:57:06.340702,6.0,6.9,11.6,0.0,74.5,13.3
Matt Henningsen,91.0,DE,ACT,"6'3""",291,,3,Wisconsin,broncos,nfl.com,2025-07-21T13:57:06.340668,6.0,6.9,10.5,0.0,74.5,13.1
Eyioma Uwazurike,96.0,DT,ACT,"6'6""",320,,3,Iowa State,broncos,nfl.com,2025-07-21T13:57:06.340881,6.0,6.2,10.5,0.0,74.5,12.9
Nik Bonitto,15.0,LB,ACT,"6'3""",240,,4,Oklahoma,broncos,nfl.com,2025-07-21T13:57:06.340570,6.0,9.2,10.5,0.0,63.5,12.7
Jordan Jackson,94.0,DT,ACT,"6'4""",294,,2,Air Force,broncos,nfl.com,2025-07-21T13:57:06.340681,6.0,4.2,10.5,0.0,74.5,12.3
J.K. Dobbins,,RB,ACT,"5'10""",215,,6,Ohio State,broncos,nfl.com,2025-07-21T13:57:06.340607,6.0,12.5,10.5,0.0,48.4,12.2
Marvin Mims Jr.,19.0,WR,ACT,"5'11""",182,,3,Oklahoma,broncos,nfl.com,2025-07-21T13:57:06.340746,7.2,6.2,10.5,0.0,59.5,11.7
Michael Bandy,83.0,WR,ACT,"5'10""",190,,3,San Diego,broncos,nfl.com,2025-07-21T13:57:06.340550,7.2,6.2,10.5,0.0,59.5,11.7
Drew Sanders,41.0,LB,ACT,"6'5""",234,,3,Arkansas,broncos,nfl.com,2025-07-21T13:57:06.340813,6.0,6.9,10.5,0.0,59.5,11.6
Caden Prieskorn,,TE,ACT,"6'5""",255,,R,Mississippi,broncos,nfl.com,2025-07-21T13:57:06.340792,6.0,0.0,11.6,0.0,74.5,11.3
Kristian Williams,75.0,DT,ACT,"6'2""",295,,R,Missouri,broncos,nfl.com,2025-07-21T13:57:06.340909,6.0,0.0,10.5,0.0,75.5,11.2
A.T. Perry,87.0,WR,ACT,"6'5""",205,,2,Wake Forest,broncos,nfl.com,2025-07-21T13:57:06.340774,7.2,4.2,10.5,0.0,59.5,11.1
Devaughn Vele,17.0,WR,ACT,"6'5""",210,,2,Utah,broncos,nfl.com,2025-07-21T13:57:06.340885,7.2,4.2,10.5,0.0,59.5,11.1
Troy Franklin,16.0,WR,ACT,"6'3""",180,,2,Oregon,broncos,nfl.com,2025-07-21T13:57:06.340643,7.2,4.2,10.5,0.0,59.5,11.1
Pat Surtain II,2.0,CB,ACT,"6'2""",202,,5,Alabama,broncos,nfl.com,2025-07-21T13:57:06.340845,6.0,10.4,10.5,0.0,44.0,11.1
Caleb Lohner,84.0,TE,ACT,"6'7""",250,,R,Utah,broncos,nfl.com,2025-07-21T13:57:06.340710,6.0,0.0,11.6,0.0,72.5,11.1
Andrew Farmer,53.0,LB,ACT,"6'4""",250,,2,Lane College,broncos,nfl.com,2025-07-21T13:57:06.340627,6.0,4.6,10.5,0.0,59.5,10.9
Levelle Bailey,56.0,LB,ACT,"6'2""",225,,2,Fresno State,broncos,nfl.com,2025-07-21T13:57:06.340545,6.0,4.6,10.5,0.0,59.5,10.9
Jordan Miller,90.0,DT,ACT,"6'3""",307,,1,SMU,broncos,nfl.com,2025-07-21T13:57:06.340742,6.0,2.1,10.5,0.0,66.5,10.9
Dondrea Tillman,92.0,LB,ACT,"6'3""",270,,2,"Indiana PA,  University of",broncos,nfl.com,2025-07-21T13:57:06.340862,6.0,4.6,10.5,0.0,59.5,10.9
Jonah Elliss,52.0,LB,ACT,"6'2""",246,,2,Utah,broncos,nfl.com,2025-07-21T13:57:06.340615,6.0,4.6,10.5,0.0,59.5,10.9
Saivion Jones,95.0,DE,ACT,"6'5""",289,,R,LSU,broncos,nfl.com,2025-07-21T13:57:06.340694,6.0,0.0,10.5,0.0,72.5,10.8
Damarri Mathis,27.0,CB,ACT,"5'11""",195,,4,Pittsburgh,broncos,nfl.com,2025-07-21T13:57:06.340717,6.0,8.3,10.5,0.0,44.0,10.5
Pat Bryant,13.0,WR,ACT,"6'2""",204,,R,Illinois,broncos,nfl.com,2025-07-21T13:57:06.340579,7.2,0.0,10.5,0.0,63.5,10.2
Jaleel McLaughlin,38.0,RB,ACT,"5'7""",187,,3,Youngstown State,broncos,nfl.com,2025-07-21T13:57:06.340726,6.0,6.2,10.5,0.0,44.0,9.9
Kyrese Rowan,,WR,ACT,"5'10""",185,,R,Utah State,broncos,nfl.com,2025-07-21T13:57:06.340905,7.2,0.0,10.5,0.0,59.5,9.8
Johnny Walker Jr.,59.0,LB,ACT,"6'3""",250,,R,Missouri,broncos,nfl.com,2025-07-21T13:57:06.340889,6.0,0.0,10.5,0.0,60.5,9.7
J.B. Brown,50.0,LB,ACT,"6'2""",230,,R,Kansas,broncos,nfl.com,2025-07-21T13:57:06.340575,6.0,0.0,10.5,0.0,60.5,9.7
Joaquin Davis,80.0,WR,ACT,"6'4""",195,,R,North Carolina Central,broncos,nfl.com,2025-07-21T13:57:06.340603,7.2,0.0,10.5,0.0,57.5,9.7
Que Robinson,51.0,LB,ACT,"6'4""",243,,R,Alabama,broncos,nfl.com,2025-07-21T13:57:06.340809,6.0,0.0,10.5,0.0,60.5,9.7
Karene Reid,47.0,LB,ACT,"6'0""",227,,R,Utah,broncos,nfl.com,2025-07-21T13:57:06.340796,6.0,0.0,10.5,0.0,60.5,9.7
Jerjuan Newton,81.0,WR,ACT,"5'11""",192,,R,Toledo,broncos,nfl.com,2025-07-21T13:57:06.340758,7.2,0.0,10.5,0.0,57.5,9.7
Courtney Jackson,89.0,WR,ACT,"5'11""",179,,R,Arkansas State,broncos,nfl.com,2025-07-21T13:57:06.340676,7.2,0.0,10.5,0.0,57.5,9.7
Jordan Turner,,LB,ACT,"6'1""",231,,R,Michigan State,broncos,nfl.com,2025-07-21T13:57:06.340873,6.0,0.0,10.5,0.0,59.5,9.6
JaQuan McMillian,29.0,CB,ACT,"5'10""",183,,3,East Carolina,broncos,nfl.com,2025-07-21T13:57:06.340730,6.0,6.2,10.5,0.0,40.0,9.5
Riley Moss,21.0,CB,ACT,"6'0""",193,,3,Iowa,broncos,nfl.com,2025-07-21T13:57:06.340750,6.0,6.2,10.5,0.0,40.0,9.5
Blake Watson,25.0,RB,ACT,"5'9""",195,,2,Memphis,broncos,nfl.com,2025-07-21T13:57:06.340893,6.0,4.2,10.5,0.0,44.0,9.2
Audric Estimé,23.0,RB,ACT,"5'11""",227,,2,Notre Dame,broncos,nfl.com,2025-07-21T13:57:06.340624,6.0,4.2,10.5,0.0,44.0,9.2
Tyler Badie,28.0,RB,ACT,"5'8""",197,,2,Missouri,broncos,nfl.com,2025-07-21T13:57:06.340538,6.0,4.2,10.5,0.0,44.0,9.2
Mario Goodrich,,CB,ACT,"6'0""",186,,2,Clemson,broncos,nfl.com,2025-07-21T13:57:06.340655,6.0,4.2,10.5,0.0,40.0,8.8
Kris Abrams-Draine,31.0,CB,ACT,"5'11""",178,,2,Missouri,broncos,nfl.com,2025-07-21T13:57:06.340509,6.0,4.2,10.5,0.0,40.0,8.8
RJ Harvey,,RB,ACT,"5'9""",220,,R,UCF,broncos,nfl.com,2025-07-21T13:57:06.340663,6.0,0.0,10.5,0.0,44.0,8.0
Joshua Pickett,25.0,CB,ACT,"6'0""",188,,R,Duke,broncos,nfl.com,2025-07-21T13:57:06.340778,6.0,0.0,10.5,0.0,41.0,7.7
Jahdae Barron,,CB,ACT,"5'11""",200,,R,Texas,broncos,nfl.com,2025-07-21T13:57:06.340554,6.0,0.0,10.5,0.0,40.0,7.6
Jaden Robinson,,CB,ACT,"6'0""",193,,R,Oregon State,broncos,nfl.com,2025-07-21T13:57:06.340804,6.0,0.0,10.5,0.0,40.0,7.6
Quinton Newsome,36.0,CB,ACT,"6'1""",185,,1,Nebraska,broncos,nfl.com,2025-07-21T13:57:06.340754,6.0,2.1,10.5,0.0,32.0,7.4
Reese Taylor,35.0,CB,ACT,"5'9""",188,,1,Purdue,broncos,nfl.com,2025-07-21T13:57:06.340853,6.0,2.1,10.5,0.0,32.0,7.4
