name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Michael Burton,20.0,FB,ACT,"6'0""",247,,11,Rutgers,broncos,nfl.com,2025-07-21T13:57:06.340583,6.0,47.9,10.5,20.0,63.5,27.3
Wil Lutz,3.0,K,ACT,"5'11""",184,,10,Georgia State,broncos,nfl.com,2025-07-21T13:57:06.340714,6.0,45.8,10.5,20.0,68.0,27.2
Garett Bolles,72.0,OT,ACT,"6'5""",300,,9,Utah,broncos,nfl.com,2025-07-21T13:57:06.340565,6.0,43.8,10.5,20.0,63.5,26.1
Mike McGlinchey,69.0,OT,ACT,"6'8""",315,,8,Notre Dame,broncos,nfl.com,2025-07-21T13:57:06.340721,6.0,41.7,10.5,20.0,63.5,25.4
Ben Powers,74.0,G,ACT,"6'4""",310,,7,Oklahoma,broncos,nfl.com,2025-07-21T13:57:06.340788,6.0,39.6,10.5,20.0,63.5,24.8
P.J. Locke,6.0,SAF,ACT,"5'10""",202,,6,Texas,broncos,nfl.com,2025-07-21T13:57:06.340706,6.0,37.5,10.5,20.0,63.5,24.2
Matt Peart,79.0,OT,ACT,"6'7""",318,,6,Connecticut,broncos,nfl.com,2025-07-21T13:57:06.340770,6.0,37.5,10.5,20.0,63.5,24.2
Brandon Jones,22.0,SAF,ACT,"6'1""",191,,6,Texas,broncos,nfl.com,2025-07-21T13:57:06.340685,6.0,37.5,10.5,20.0,63.5,24.2
Sam Franklin Jr.,42.0,SAF,ACT,"6'3""",210,,6,Temple,broncos,nfl.com,2025-07-21T13:57:06.340639,6.0,37.5,10.5,20.0,63.5,24.2
Quinn Meinerz,77.0,C,ACT,"6'3""",320,,5,Wisconsin-Whitewater,broncos,nfl.com,2025-07-21T13:57:06.340734,6.0,35.4,10.5,20.0,63.5,23.6
Talanoa Hufanga,9.0,SAF,ACT,"6'0""",200,,5,USC,broncos,nfl.com,2025-07-21T13:57:06.340672,6.0,35.4,10.5,20.0,63.5,23.6
Calvin Throckmorton,76.0,G,ACT,"6'5""",311,,5,Oregon,broncos,nfl.com,2025-07-21T13:57:06.340858,6.0,35.4,10.5,20.0,63.5,23.6
Mitchell Fraboni,48.0,LS,ACT,"6'2""",223,,4,Arizona State,broncos,nfl.com,2025-07-21T13:57:06.340635,6.0,33.3,10.5,20.0,63.5,22.9
Delarrin Turner-Yell,32.0,SAF,ACT,"5'11""",200,,4,Oklahoma,broncos,nfl.com,2025-07-21T13:57:06.340877,6.0,33.3,10.5,20.0,63.5,22.9
Luke Wattenberg,60.0,C,ACT,"6'5""",300,,4,Washington,broncos,nfl.com,2025-07-21T13:57:06.340896,6.0,33.3,10.5,20.0,63.5,22.9
JL Skinner,34.0,SAF,ACT,"6'4""",220,,3,Boise State,broncos,nfl.com,2025-07-21T13:57:06.340829,6.0,31.2,10.5,20.0,59.5,21.9
Alex Forsyth,54.0,C,ACT,"6'4""",312,,3,Oregon,broncos,nfl.com,2025-07-21T13:57:06.340631,6.0,31.2,10.5,20.0,59.5,21.9
Alex Palczewski,63.0,OT,ACT,"6'6""",315,,3,Illinois,broncos,nfl.com,2025-07-21T13:57:06.340766,6.0,31.2,10.5,20.0,59.5,21.9
Devon Key,26.0,SAF,ACT,"6'0""",208,,2,Western Kentucky,broncos,nfl.com,2025-07-21T13:57:06.340698,6.0,29.2,10.5,20.0,59.5,21.3
Frank Crum,73.0,OT,ACT,"6'7""",315,,2,Wyoming,broncos,nfl.com,2025-07-21T13:57:06.340599,6.0,29.2,10.5,20.0,59.5,21.3
Keidron Smith,43.0,DB,ACT,"6'2""",210,,2,Kentucky,broncos,nfl.com,2025-07-21T13:57:06.340833,6.0,29.2,10.5,20.0,59.5,21.3
Jeremy Crawshaw,39.0,P,ACT,"6'3""",205,,R,Florida,broncos,nfl.com,2025-07-21T13:57:06.340595,6.0,25.0,10.5,20.0,65.0,20.6
Joseph Michalski,68.0,C,ACT,"6'5""",305,,R,Oklahoma State,broncos,nfl.com,2025-07-21T13:57:06.340739,6.0,25.0,10.5,20.0,60.5,20.2
Marques Cox,70.0,OT,ACT,"6'5""",312,,R,Kentucky,broncos,nfl.com,2025-07-21T13:57:06.340591,6.0,25.0,10.5,20.0,60.5,20.2
Clay Webb,64.0,G,ACT,"6'3""",312,,R,Jacksonville State,broncos,nfl.com,2025-07-21T13:57:06.340901,6.0,25.0,10.5,20.0,60.5,20.2
Xavier Truss,71.0,G,ACT,"6'7""",320,,R,Georgia,broncos,nfl.com,2025-07-21T13:57:06.340870,6.0,25.0,10.5,20.0,60.5,20.2
Nick Gargiulo,66.0,G,ACT,"6'5""",310,,1,South Carolina,broncos,nfl.com,2025-07-21T13:57:06.340651,6.0,27.1,10.5,20.0,51.5,19.9
Will Sherman,78.0,OT,ACT,"6'4""",300,,1,Colorado,broncos,nfl.com,2025-07-21T13:57:06.340821,6.0,27.1,10.5,20.0,51.5,19.9
Evan Engram,1.0,TE,ACT,"6'3""",240,,9,Mississippi,broncos,nfl.com,2025-07-21T13:57:06.340619,6.0,20.6,11.6,0.0,78.5,17.8
Jarrett Stidham,8.0,QB,ACT,"6'3""",215,,6,Auburn,broncos,nfl.com,2025-07-21T13:57:06.340837,7.8,15.0,11.6,0.0,83.0,17.1
D.J. Jones,93.0,DT,ACT,"6'0""",305,,9,Mississippi,broncos,nfl.com,2025-07-21T13:57:06.340689,6.0,18.8,10.5,0.0,78.5,17.1
